AHJ Name,public_sentiment,score_raw,n_projects,recent_signal,recent_bonus,recent_denial_signal,recent_denial_penalty,count_bonus,has_past,latest_date,segment,County,AHJ Type
Alton,100.0,100.00000000000001,2,0.0,0.0,0.0,0.0,1.6875960210000318,1,2022-06-30,Positive,Madison,City
McLean,100.0,97.65356840347698,25,1.0,3.458658867053549,0.0,0.0,3.999999996670882,1,2025-06-30,Positive,McLean,County
Lewistown,100.0,100.0,1,0.0,0.0,0.0,0.0,0.0,1,2023-06-30,Positive,Fulton,Village
Belleville,100.0,91.60681668996358,4,1.0,3.458658867053549,0.0,0.0,3.496213151544028,1,2024-06-30,Positive,St. Clair,City
Canton,100.0,95.625,1,1.0,3.458658867053549,0.0,0.0,0.0,1,2025-06-30,Positive,Fulton,City
Bloomington,98.922230466091,90.59838011824135,3,1.0,3.458658867053549,0.0,0.0,2.865191480796098,1,2025-06-30,Positive,McLean,City
Dupo,97.33472797227091,95.33472797227091,1,0.0,0.0,0.0,0.0,0.0,1,2021-06-30,Positive,St. Clair,Village
Carbondale,97.08965447188234,87.66696579011632,7,1.0,3.458658867053549,0.0,0.0,3.9640298147124704,1,2025-06-30,Positive,Jackson,City
South Jacksonville,92.88015468147319,87.42149581441964,1,1.0,3.458658867053549,0.0,0.0,0.0,1,2024-06-30,Positive,Morgan,Village
Mount Vernon,92.16087653382354,85.01462164576996,2,1.0,3.458658867053549,0.0,0.0,1.6875960210000318,1,2024-06-30,Positive,Jefferson,City
Granite City,90.90843773491383,82.58458738706419,3,1.0,3.458658867053549,0.0,0.0,2.865191480796098,1,2025-06-30,Positive,Madison,City
Dunlap,87.96449517221687,80.8182402841633,2,1.0,3.458658867053549,0.0,0.0,1.6875960210000318,1,2024-06-30,Positive,Peoria,Village
Quincy,81.4068385485685,76.5416470677724,3,0.5,2.5284822353142307,0.5,2.5284822353142307,2.865191480796098,1,2025-06-30,Positive,Adams,City
Jacksonville,66.99999999999999,64.99999999999999,1,0.0,0.0,0.0,0.0,0.0,1,2025-06-30,Mixed,Morgan,City
East St Louis,66.99999999999999,64.99999999999999,1,0.0,0.0,0.0,0.0,0.0,1,,Mixed,St. Clair,City
Timberlane,63.422225616997196,60.4544947007674,4,0.0,0.0,0.5,2.5284822353142307,3.496213151544028,1,2025-06-30,Mixed,Boone,Village
Plano,50.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,Mixed,Kendall,City
Valmeyer,50.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,Mixed,Monroe,Village
Princeville,50.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,Mixed,Peoria,Viilage
South Roxana,50.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,Mixed,Madison,Village
Hartford,50.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,Mixed,Madison,Village
Fairview Heights,50.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,Mixed,St. Clair,City
Fairmont City,50.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,Mixed,St. Clair,Village
Caseyville,50.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,Mixed,St. Clair,Village
Wood River,50.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,Mixed,Madison,City
Morton,26.230907929182873,26.00197077523639,2,0.0,0.0,1.0,3.458658867053549,1.6875960210000318,1,2024-06-30,Negative,Tazewell,Village
Godfrey,2.605336560407959,4.063995427461508,1,0.0,0.0,1.0,3.458658867053549,0.0,1,2025-06-30,Negative,Madison,Village
